County,long,lat,group,order,State,sregion
Graham,-99.59725189,39.13874435,886,26739,Arizona,Tucson
Graham,-83.60600281,35.36868286,1896,56436,Arizona,Tucson
Graham,-83.58881378,35.42024994,1896,56434,Arizona,Tucson
Graham,-83.5773468,35.42598343,1896,56433,Arizona,Tucson
Graham,-83.9497757,35.46035767,1896,56459,Arizona,Tucson
Graham,-110.0136261,33.58678436,72,3525,Arizona,Tucson
Graham,-84.01280212,35.35149384,1896,56455,Arizona,Tucson
Graham,-84.01280212,35.27701187,1896,56451,Arizona,Tucson
Graham,-99.60298157,39.56846237,886,26738,Arizona,Tucson
Graham,-109.6583939,33.59824371,72,3539,Arizona,Tucson
Graham,-83.6231842,35.35722733,1896,56437,Arizona,Tucson
Graham,-84.01280212,35.40879059,1896,56457,Arizona,Tucson
Graham,-83.65756989,35.34576797,1896,56438,Arizona,Tucson
Graham,-109.7615204,33.4893837,72,3535,Arizona,Tucson
Graham,-83.72059631,35.26555252,1896,56442,Arizona,Tucson
Graham,-109.9735184,33.58678436,72,3526,Arizona,Tucson
Graham,-109.2114868,32.62421799,72,3551,Arizona,Tucson
Graham,-100.1644821,39.57419586,886,26741,Arizona,Tucson
Graham,-83.76643372,35.44890213,1896,56427,Arizona,Tucson
Graham,-83.79507446,35.45462799,1896,56426,Arizona,Tucson
Graham,-109.2229385,32.64140701,72,3550,Arizona,Tucson
Graham,-109.6813049,33.55241013,72,3538,Arizona,Tucson
Graham,-109.3260803,32.83620834,72,3547,Arizona,Tucson
Graham,-83.79507446,35.25409317,1896,56445,Arizona,Tucson
Graham,-83.68048859,35.32857513,1896,56439,Arizona,Tucson
Graham,-83.74350739,35.24836349,1896,56443,Arizona,Tucson
Graham,-84.01280212,35.36868286,1896,56456,Arizona,Tucson
Graham,-83.94404602,35.23117447,1896,56447,Arizona,Tucson
Graham,-109.5037003,33.64981079,72,3543,Arizona,Tucson
Graham,-109.5266113,33.63262177,72,3541,Arizona,Tucson
Graham,-110.0136261,33.58678436,72,3575,Arizona,Tucson
Graham,-110.4662628,32.42368317,72,3558,Arizona,Tucson
Graham,-83.77216339,35.24836349,1896,56444,Arizona,Tucson
Graham,-109.9563293,33.57532883,72,3527,Arizona,Tucson
Graham,-109.5037003,33.50084305,72,3544,Arizona,Tucson
Graham,-83.85810852,35.44890213,1896,56425,Arizona,Tucson
